LocInfo;Coord_X;Coord_y
0102f8105109fb7b;788187;2086183
0102f81051090031;789584;2090725
0102f8105109fc3e;790721;2086852
0102f81051099a95;790772;2087817
0102f810041e2d59;793509;2084471
0102f810041f6467;793578;2088759
0102f810041f9342;794025;2086750
0102f810041f7aef;794292;2087959
0102f810041f2a86;794292;2087959
0102f8100708d5dc;795053;2087829
0102f8100708a809;796558;2087441
0102f810070813e2;796669;2084637
0102f81007089bf4;796769;2088254
0102f81007084dc6;797267;2086231
0102f8105106908b;797562;2091936
0102f81007088fde;797712;2090509
0102f81007087e60;798784;2087454
0102f81007080fa5;798941;2088603
0102f8100708b9db;799850;2086200
0102f810006858cb;800147;2084780
0102f81051095992;788560;2089840
0102f81051095c6c;790988;2085754
0102f810041e4de3;791886;2082925
0102f8105109ed09;792760;2087510
0102f810041f8277;793537;2085865
0102f810041f3e23;794286;2089503
0102f8100708a77e;795053;2087829
0102f81007083cac;795164;2088253
0102f8105106616b;795265;2091830
0102f81007083583;795942;2087733
0102f8100708b5c5;796842;2088251
0102f81007083501;797162;2090048
0102f8100708fd44;797332;2088516
0102f8100708d3d7;798131;2084251
0102f8100708eb5b;798536;2088086
0102f8100708b156;798701;2086680
0102f81000681cbc;799827;2084225
0102f81000687071;800147;2084780
0102f8100708c48d;800689;2090019
0102f81007083307;800730;2086140
0102f8100068e143;801331;2084211
0102f81007088d90;801791;2088727
0102f81051090318;791798;2088220
0102f810510904a6;791829;2089271
0102f81051090057;793122;2088725
0102f810041fc25c;794068;2088199
0102f810041f7505;794276;2087085
0102f810041ff3f8;794720;2085624
0102f810041f74a8;795043;2086760
0102f810041f2bf1;795182;2086140
0102f810070815ad;795532;2087896
0102f8100708f511;796085;2088680
0102f8100708ebc3;796187;2086845
0102f81007085683;796769;2088254
0102f8100708f1cc;797162;2090048
0102f8100708e63f;797760;2086020
0102f8100708c175;798014;2089849
0102f810070892be;798101;2089193
0102f81007089f51;798784;2087454
0102f81007088472;799134;2085231
0102f8100708d8cb;799451;2087569
0102f8100068e497;802215;2082439
0102f81051090123;789200;2086934
0102f81051090127;789200;2086934
0102f8105109010d;790823;2084548
0102f81051095078;791231;2084217
0102f810041f388c;793396;2085521
0102f810041fa864;793839;2089304
0102f810041eefdc;794050;2081140
0102f810006f0001;795000;2087322
0102f810041f33e5;795255;2088756
0102f8100708cc37;796601;2087024
0102f81007083fd4;796641;2086398
0102f810006866b4;797107;2081129
0102f81007083dac;797199;2084963
0102f8100708b8ba;798101;2089193
0102f810041c0145;803500;2084400
0102f810041e54ff;791228;2081530
0102f81051098143;791618;2089820
0102f81051090063;791798;2088220
0102f810041e4b29;793509;2084471
0102f810041f128c;794276;2087085
0102f810041f2eeb;794511;2087930
0102f810041f7332;794720;2085624
0102f810041f2cb7;795043;2086760
0102f8100708499b;795560;2088185
0102f810041e4d8f;795782;2081272
