LocInfo, Coord_X, Coord_y
0002f8101903bdfe, 305031, 2252899
0002f8101902c212, 305761, 2252247
0002f8101903c305, 305457, 2253609
0002f8101902c26b, 307090, 2253195
0002f8101903bd78, 307170, 2256160
0002f8101902c728, 308927, 2254072
0002f81019031fb6, 305457, 2253609
0002f81019031f8f, 303732, 2256210
0002f81019025e5f, 306300, 2253151
0002f81019031ac7, 302778, 2252421
0002f8101902c196, 307887, 2254185
0002f81019034ed3, 304370, 2253785
0002f81019034e7c, 308298, 2256154
0002f8101903bf60, 302845, 2256254
0002f8101903c3bb, 303058, 2252834
0002f81019028d2a, 306450, 2252025
0002f810190291f9, 308991, 2251755
0002f81019036d1f, 308777, 2256824
0002f8101903b10b, 307035, 2254886
0002f81019031aa4, 303196, 2252304
0002f8101903c195, 303353, 2255080
0002f8101903f468, 303837, 2254156
0002f8101903c17d, 303353, 2255080
0002f81019031f8e, 302041, 2254590
0002f8101903968e, 304705, 2252310
0002f81019039e1c, 304988, 2254759
0002f81019031f88, 302255, 2253090
0002f8101902b2da, 309240, 2252540
0002f8101903bf0b, 303812, 2252714
0002f8101902066f, 306300, 2253150
0002f81019035c66, 307796, 2255300
0002f81019034e4f, 308298, 2256154
0002f8101902b2e1, 309240, 2252540
0002f810190371ca, 300860, 2254600
0002f81019035e67, 305426, 2255076
0002f81019025b67, 307887, 2254185
0002f8101902be80, 306450, 2252025
0002f81050019002, 306445, 2252379
0002f8101903a32b, 308777, 2256824
0002f810190267a5, 305960, 2252820
0002f81019049fb5, 309335, 2255389
0002f81019031a7a, 305255, 2251095
0002f81019026165, 307318, 2250995
0002f8101903c2d2, 304988, 2254759
0002f81019031a8e, 303353, 2255080
0002f8101903a8c8, 303812, 2252714
0002f8101903e198, 303812, 2252714
0002f810190345b3, 303058, 2252834
0002f81019039ef2, 303940, 2251175
0002f8101904e677, 311237, 2255912
0002f81019035f45, 302074, 2256019
0002f81019031faf, 305457, 2253609
0002f8101902a82a, 310593, 2252788
0002f8101903fd10, 303837, 2254156
0002f8101902a82b, 310593, 2252788
0002f81019031f69, 301476, 2252503
0002f8101903c25f, 306363, 2256255
0002f8101902d12f, 306450, 2252025
0002f81019035966, 304795, 2253398
0002f8101903ef3c, 304988, 2254759
0002f81019031a89, 305013, 2255668
0002f81019035e65, 305426, 2255076
0002f8101902c1b2, 307887, 2254185
0002f81019031f8a, 302255, 2253090
0002f8101904f85c, 311237, 2255912
0002f8101902c20e, 305761, 2252247
0002f81019035465, 304640, 2253002
0002f8101903f88b, 308777, 2256824
0002f8101903c59f, 302837, 2254168
0002f8101902501c, 308927, 2254072
0002f81019026d47, 307050, 2253850
0002f8101903be74, 303732, 2256210
0002f8101902c271, 307090, 2253195
0002f81019025931, 307090, 2253195
0002f8101902b301, 309240, 2252540
0002f810190352d9, 303575, 2255840
0002f81019036cce, 307785, 2257005
0002f81019042565, 309335, 2255389
0002f81019035824, 302545, 2252157
0002f8101903bc96, 305988, 2254134
0002f81019035d65, 306425, 2255375
0002f8101903eae3, 305850, 2254456
0002f8101903bcaf, 305988, 2254134
0002f8101903b231, 307035, 2254886
0002f8101903bef7, 301476, 2252503
0002f8101903bd75, 301315, 2253485
0002f8101902c739, 308927, 2254072
0002f81019021a90, 309240, 2252540
0002f81019031f9c, 301494, 2256919
0002f8101903dc41, 305804, 2253299
0002f81019026ef9, 307887, 2254185
0002f81019031f8d, 302041, 2254590
0002f81019036fb7, 304988, 2254759
0002f81019042567, 309335, 2255389
0002f8101902ee59, 306296, 2251131
0002f81019026025, 306407, 2253679
0002f8101903ccb1, 305013, 2255668
0002f81019025666, 305761, 2252247
0002f8101904f6bc, 311237, 2255912
0002f81019034923, 304166, 2254734
0002f81019030565, 304862, 2253976
0002f81019026167, 307318, 2250995
0002f8101903e063, 305031, 2252899
0002f81019035d67, 306425, 2255375
0002f8101903c39b, 303058, 2252834
0002f8101903bc33, 300860, 2254600
0002f8101903cca9, 305013, 2255668
0002f8101903471f, 302560, 2254110
0002f8101903c0bf, 303837, 2254156
0002f810190383d2, 304414, 2253355
0002f81019035f42, 302074, 2256019
0002f81019030567, 304862, 2253976
0002f8101903977c, 304705, 2252310
0002f810190394d5, 305988, 2254134
0002f81019026d46, 307050, 2253850
0002f81019031aa0, 303196, 2252304
0002f81019034654, 303530, 2253410
0002f8101903bdfc, 305031, 2252899
0002f8101902680a, 306300, 2253150
0002f81019035f73, 302074, 2256019
0002f81019035830, 302545, 2252157
0002f8101903bd9d, 304795, 2253398
0002f81019031f6d, 307170, 2256160
0002f8101903bd62, 304862, 2253976
0002f81019031a8a, 305013, 2255668
0002f81019031f6b, 307170, 2256160
0002f8101903c3f4, 303058, 2252834
0002f8101903bc6a, 305988, 2254134
0002f81019036ccf, 307785, 2257005
0002f81019031d67, 300860, 2254600
0002f8101903dc42, 305804, 2253299
0002f81019031fb5, 305457, 2253609
0002f81019026d48, 307050, 2253850
0002f81019021a80, 307050, 2253850
0002f81019031f75, 307785, 2257005
0002f81019025b65, 307887, 2254185
0002f810190346df, 302560, 2254110
0002f8101903546f, 304619, 2254974
0002f81019031fa8, 306363, 2256255
0002f81019031a7b, 305255, 2251095
0002f810190394d3, 305988, 2254134
0002f8101903c229, 306363, 2256255
0002f810190348c3, 304166, 2254734
0002f810190291f8, 308991, 2251755
0002f8101904a266, 309335, 2255389
0002f8101903beae, 301476, 2252503
0002f810190395fe, 305037, 2256143
0002f8101902b2f0, 306407, 2253679
0002f81019031ac6, 302778, 2252421
0002f810190396a3, 304705, 2252310
0002f8101902c269, 307090, 2253195
0002f81019031f97, 301494, 2256919
0002f8101903bebc, 301476, 2252503
0002f81019039ef4, 303940, 2251175
0002f81019025e36, 306300, 2253151
0002f81019031a7d, 305255, 2251095
0002f81019049faf, 309335, 2255389
0002f81019035467, 304640, 2253002
0002f81019031a88, 305013, 2255668
0002f81019025667, 305761, 2252247
0002f8101903f20f, 307035, 2254886
0002f81019036ceb, 303812, 2252714
0002f8101903bd8c, 304795, 2253398
0002f81019039603, 305037, 2256143
0002f810190348c5, 304166, 2254734
0002f81019024f93, 308927, 2254072
0002f810190375c5, 305166, 2253274
0002f81019021a7e, 307050, 2253850
0002f81019031f90, 303732, 2256210
0002f81019035c67, 307796, 2255300
0002f81019031f98, 301494, 2256919
0002f8101903f68c, 302845, 2256254
0002f8101903bbc2, 303530, 2253410
0002f8101903630e, 304536, 2253390
0002f8101903d9e4, 305031, 2252899
0002f81019031f6a, 307170, 2256160
0002f8101903c2bf, 304988, 2254759
0002f81019042566, 309335, 2255389
0002f81019031f6f, 307785, 2257005
0002f81019034eed, 304370, 2253785
0002f8101902ee54, 306296, 2251131
0002f8101902b7be, 306785, 2252142
0002f8101903bf0c, 303812, 2252714
0002f81019025e70, 306300, 2253151
0002f8101903c085, 303837, 2254156
0002f81019034ec2, 308298, 2256154
0002f8101903bf1e, 302845, 2256254
0002f8101903bbd7, 303530, 2253410
0002f8101903a4b3, 308777, 2256824
0002f8101903462e, 303530, 2253410
0002f81019035466, 304640, 2253002
0002f81019034ee3, 304370, 2253785
0002f8101903546e, 304619, 2254974
0002f8101902be86, 306450, 2252025
0002f8101902c216, 305761, 2252247
0002f8101903bde6, 305031, 2252899
0002f81019025b66, 307887, 2254185
0002f8101903bf53, 302845, 2256254
0002f810190345a0, 303058, 2252834
0002f8101903469b, 302560, 2254110
0002f8101903c227, 306363, 2256255
0002f81050019013, 306445, 2252379
0002f81019025932, 307090, 2253195
0002f8101903f46d, 305031, 2252899
0002f81019021a8f, 309240, 2252540
0002f8101903c2f3, 305457, 2253609
0002f81019035967, 304795, 2253398
0002f8101902ee6a, 306296, 2251131
0002f8101903d193, 305850, 2254456
0002f81019035835, 302545, 2252157
0002f810190394d4, 305988, 2254134
0002f8101903bbba, 303530, 2253410
0002f8101903bc31, 300860, 2254600
0002f8101903be13, 303732, 2256210
0002f8101903bd79, 301315, 2253485
0002f81019031ac8, 302778, 2252421
0002f8101903c593, 302837, 2254168
0002f8101903f6df, 302845, 2256254
0002f8101902b7bf, 306785, 2252142
0002f8101903bd8a, 307170, 2256160
0002f810190352ac, 303575, 2255840
0002f8101903be34, 303732, 2256210
0002f810190267a4, 305960, 2252820
0002f81019031f67, 301476, 2252503
0002f8101903ee2c, 303812, 2252714
0002f810190291fa, 308991, 2251755
0002f81019039ef3, 303940, 2251175
0002f810190383e8, 304414, 2253355
8102f8100000d8dd, 304619, 2254974
0002f8101903c132, 303353, 2255080
0002f810190352d6, 303575, 2255840
0002f8101903952a, 305037, 2256143
0002f8101903ccf5, 305013, 2255668
0002f81019024fae, 308927, 2254072
0002f8101903e374, 307035, 2254886
8102f8100000d8c1, 307035, 2254886
8102f8100000d8d1, 305475, 2253560
0002f81019031a8b, 303353, 2255080
0002f8101903bd69, 307170, 2256160
0002f81019031a8d, 303353, 2255080
0002f8101903c2b9, 303837, 2254156
0002f81019035c65, 307796, 2255300
0002f8101903468b, 303530, 2253410
0002f810190370e2, 305850, 2254456
